Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sharma, Ajay; Bohn, Kimberly K; McKeithen, Justin; Singh, Aditya; ",Effects of conversion harvests on light regimes in a southern pine ecosystem in transition from intensively managed plantations to uneven-aged stands,Forest Ecology and Management,432,,140-149,2019,Elsevier
"Wang, Zhihui; Townsend, Philip A; Schweiger, Anna K; Couture, John J; Singh, Aditya; Hobbie, Sarah E; Cavender-Bares, Jeannine; ",Mapping foliar functional traits and their uncertainties across three years in a grassland experiment,Remote Sensing of Environment,221,,405-416,2019,Elsevier
"Clare, John DJ; Townsend, Philip A; Anhalt‐Depies, Christine; Locke, Christina; Stenglein, Jennifer L; Frett, Susan; Martin, Karl J; Singh, Aditya; Van Deelen, Timothy R; Zuckerberg, Benjamin; ",Making inference with messy (citizen science) data: when are data accurate enough and how can they be improved?,Ecological applications,29,2,e01849,2019,
"Biswas, Anju; Acharya, Janam; Shirbhate, Shubham; Singh, Aditya; Rios, Esteban F; ",Utilizing Remote Sensing in Alfalfa Breeding,"ASA, CSSA and SSSA International Annual Meetings (2019)",,,,2019,"ASA, CSSA, and SSSA"
"Singh, Aditya; Bay, Alessandro; ",On Mixup Training: Improved Calibration and Predictive Uncertainty for Deep Neural Networks NeurIPS Reproducibility Challenge 2019,,,,,2019,
"Herrmann, Ittai; Vosberg, Steven K; Ravindran, Prabu; Singh, Aditya; Chang, Hao-Xun; Chilvers, Martin I; Conley, Shawn P; Townsend, Philip A; ",Leaf and canopy level detection of Fusarium virguliforme (sudden death syndrome) in soybean,Remote Sensing,10,3,426,2018,Multidisciplinary Digital Publishing Institute
"DuBois, Sean; Desai, Ankur R; Singh, Aditya; Serbin, Shawn P; Goulden, Michael L; Baldocchi, Dennis D; Ma, Siyan; Oechel, Walter C; Wharton, Sonia; Kruger, Eric L; ",Using imaging spectroscopy to detect variation in terrestrial ecosystem productivity across a water‐stressed landscape,Ecological Applications,28,5,1313-1324,2018,
"Couture, JJ; Singh, A; Charkowski, AO; Groves, RL; Gray, SM; Bethke, PC; Townsend, PA; ",Integrating spectroscopy with potato disease management,Plant disease,102,11,2233-2240,2018,
"Marconi, Sergio; Graves, Sarah J; Bohlman, Stephanie A; Lichstein, Jeremy W; Singh, Aditya; White, Ethan P; ",Scaling up remote sensing fundamental unit: from pixel to crowns. Inferring forest structure and traits syndromes for each individual tree within NEON forest sites,2018 ESA Annual Meeting (August 5--10),,,,2018,ESA
"Lacasella, Federica; Marta, Silvio; Singh, Aditya; Stack Whitney, Kaitlin; Hamilton, Krista; Townsend, Phil; Kucharik, Christopher J; Meehan, Timothy D; Gratton, Claudio; ","From pest data to abundance‐based risk maps combining eco‐physiological knowledge, weather, and habitat variability",Ecological Applications,27,2,575-588,2017,
"Kolka, Randall K; Sturtevant, Brian R; Miesel, Jessica R; Singh, Aditya; Wolter, Peter T; Fraver, Shawn; DeSutter, Thomas M; Townsend, Phil A; ","Emissions of forest floor and mineral soil carbon, nitrogen and mercury pools and relationships with fire severity for the Pagami Creek Fire in the Boreal Forest of northern Minnesota",International Journal of Wildland Fire,26,4,296-305,2017,CSIRO
"Townsend, Philip; Kruger, Eric; Wang, Zhihui; Singh, Aditya; ",Linking imaging spectroscopy and trait data to better understand spatial and temporal variability in functional traits,EGU General Assembly Conference Abstracts,19,,17401,2017,
"Townsend, Philip A; Chlus, Adam; Wang, Zhihui; Singh, Aditya; ",Remote sensing spectroscopy to discriminate plant functional types and physiological function,2017 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,,3043-3046,2017,IEEE
"Turner, Matthew D; Butt, Bilal; Singh, Aditya; Brottem, Leif; Ayantunde, Augustine; Gerard, Bruno; ",Variation in vegetation cover and livestock mobility needs in Sahelian West Africa,Journal of Land Use Science,11,1,76-95,2016,Taylor & Francis
"Kucharik, Christopher J; Mork, Amelia C; Meehan, Timothy D; Serbin, Shawn P; Singh, Aditya; Townsend, Philip A; Stack Whitney, Kaitlin; Gratton, Claudio; ",Evidence for compensatory photosynthetic and yield response of soybeans to aphid herbivory,Journal of economic entomology,109,3,1177-1187,2016,Entomological Society of America
"Cavender-Bares, Jeannine; Meireles, Jose Eduardo; Couture, John J; Kaproth, Matthew A; Kingdon, Clayton C; Singh, Aditya; Serbin, Shawn P; Center, Alyson; Zuniga, Esau; Pilz, George; ",Associations of leaf spectra with genetic and phylogenetic variation in oaks: prospects for remote detection of biodiversity,Remote Sensing,8,3,221,2016,Multidisciplinary Digital Publishing Institute
"Zipper, Samuel C; Schatz, Jason; Singh, Aditya; Kucharik, Christopher J; Townsend, Philip A; Loheide II, Steven P; ",Urban heat island impacts on plant phenology: intra-urban variability and response to land cover,Environmental Research Letters,11,5,54023,2016,IOP Publishing
"Couture, John J; Singh, Aditya; Rubert‐Nason, Kennedy F; Serbin, Shawn P; Lindroth, Richard L; Townsend, Philip A; ",Spectroscopic determination of ecologically relevant plant secondary metabolites,Methods in Ecology and Evolution,7,11,1402-1412,2016,
"Townsend, Philip A; Singh, Aditya; Wang, Zhihui; ",Mapping Foliar Traits Across Biomes Using Imaging Spectroscopy: A Synthesis,AGU Fall Meeting Abstracts,,,,2016,
"Cotrozzi, Lorenzo; Pellegrini, Elisa; Couture, JJ; Kingdon, CC; Singh, A; Fallon, B; PILZ, G; CAVENDER BARES, J; Nali, Cristina; Lorenzini, Giacomo; ",Spectroscopy: an efficacious approach for better understanding of stress responses of Mediterranean plants,2nd CAPERmed meeting,,,11,2016,
"Singh, Aditya; Serbin, Shawn P; McNeil, Brenden E; Kingdon, Clayton C; Townsend, Philip A; ",Imaging spectroscopy algorithms for mapping canopy foliar chemical and morphological traits and their uncertainties,Ecological Applications,25,8,2180-2197,2015,Ecological Society of America
"Fagan, Matthew E; DeFries, Ruth S; Sesnie, Steven E; Arroyo-Mora, J Pablo; Soto, Carlomagno; Singh, Aditya; Townsend, Philip A; Chazdon, Robin L; ",Mapping species composition of forests and tree plantations in Northeastern Costa Rica with an integration of hyperspectral and multitemporal Landsat imagery,Remote Sensing,7,5,5660-5696,2015,Multidisciplinary Digital Publishing Institute
"Perillo, Amelia C; Kucharik, Christopher J; Meehan, Timothy D; Serbin, Shawn P; Singh, Aditya; Townsend, Philip A; Whitney, Kaitlin Stack; Gratton, Claudio; ",Use of insect exclusion cages in soybean creates an altered microclimate and differential crop response,Agricultural and Forest Meteorology,208,,50-61,2015,Elsevier
"Gu, Huan; Singh, Aditya; Townsend, Philip A; ",Detection of gradients of forest composition in an urban area using imaging spectroscopy,Remote Sensing of Environment,167,,168-180,2015,Elsevier
"Serbin, Shawn P; Singh, Aditya; Desai, Ankur R; Dubois, Sean G; Jablonski, Andrew D; Kingdon, Clayton C; Kruger, Eric L; Townsend, Philip A; ","Remotely estimating photosynthetic capacity, and its response to temperature, in vegetation canopies using imaging spectroscopy",Remote Sensing of Environment,167,,78-87,2015,Elsevier
"Bunyan, M; Bardhan, S; Singh, A; Jose, S; ",Effect of topography on the distribution of tropical montane forest fragments: a predictive modelling approach,Journal of Tropical Forest Science,,,30-38,2015,Forest Research Institute Malaysia
